Catch central Baltic management area ,Total_catch_stock,Landings,Discards
198 856 tonnes,202 517 tonnes,"Mainly pelagic trawls. Minor part taken by trapnets, gillnets, and purse seines",Discarding is considered to be negligible.
,,202 517 tonnes,
