"","Variable","Value","Notes"
"1","F ages 9–19 (2018)","0.03","Fsq = F2017"
"2","Total catch (2018)","3 000","Catch; tonnes"
"3","R age 9 (2018–2019)","3 500 000","geometric mean of recruitment 1995–2017"
"4","SSB (2018)","101 501","Model output; tonnes"
"5","Discards (2018)","0","Discarding is negligible"
"6","F ages 9–19 (2019)","0.12","FMSY"
